state,date,M1,M2,M3,M4,V1,V2,V3,V4,D1,D2,D3,TR1,TR2,H1,H2,T1,T1a,T1b,T1c,T0,I1,E1,E1a,R1,IEAD,Xa,Xb,mask,vent,dist,tran,higi,test,imun,aead,ISRAP
TOTAL,01jan2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,02jan2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,03jan2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,04jan2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,05jan2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,06jan2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,07jan2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,08jan2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,09jan2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,10jan2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,11jan2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,12jan2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,13jan2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,14jan2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,15jan2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,16jan2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,17jan2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
TOTAL,18jan2021,1,0,0,1,1,0,0,0,0,.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,37.5,50,50,0,0,0,2395.8333
