state,spatial_unit,date,C1,C1_geo,C2a,C2a_geo,C2b,C2b_geo,C3,C3_geo,C4,C4_geo,C6,C6_geo,C9,C9_geo,SPDS_CGRTBRFED
MG,Belo Horizonte,29dec2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,30dec2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,31dec2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,01jan2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,02jan2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,03jan2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,04jan2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,05jan2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,06jan2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,07jan2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,08jan2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,09jan2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,10jan2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,11jan2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,12jan2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,13jan2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,14jan2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,15jan2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,16jan2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,17jan2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,18jan2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,19jan2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,20jan2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,21jan2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,22jan2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,23jan2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Belo Horizonte,24jan2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
